นิติบุคคลจัดตั้งเดือนเมษายน  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน", ทุนจดทะเบียน ,รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
78,0105558066121,บจ.พาวเวอร์ เอ็นเตอร์ไพรส์ (ไทยแลนด์) จำกัด,20/4/2558," 5,000,000 ",ประกอบกิจการนำเข้าส่งออกและจัดจำหน่ายเครื่องจักรอะไหล่วัตถุดิบและอุปกรณ์ที่ใช้ในอุตสาหกรรมพลาสติกไม้,343/23 ถนนสะแกงาม  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
79,0105558067976,บจ.เกรทฮิลล์ เทรดดิ้ง จำกัด,22/4/2558," 5,000,000 ",ตัวแทนจำหน่าย สินค้าอุปโภค บริโภค และผลิตภัณฑ์เกี่ยวกับอาหาร,228 ซอยพระรามที่ 2 ซอย 33  แขวงบางมด เขตจอมทอง กรุงเทพมหานคร 10150
80,0105558070985,บจ.เจียหนาน หยวนเย่ อินเตอร์เนชั่นแนล คอนสตรัคชั่น (ไทยแลนด์) จำกัด,28/4/2558," 5,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,194/5 ถนนท่าข้าม  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
81,0105558072902,บจ.ซีพี รีไซเคิล จำกัด,30/4/2558," 5,000,000 ",ประมูลซื้อขายแลกเปลี่ยนซ่อมแซมเครื่องจักรโรงงานอุปกรณ์ต่าง ๆ และวัสดุเหลือใช้ทุกประเภท,34 ซอยบางบอน 4 ซอย 14 แยก 2  แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150
82,0105558061552,บจ.โกลเดนรับเบอร์พาร์ท (1961) จำกัด,8/4/2558," 5,000,000 ",ประกอบกิจการจำหน่าย ตัวแทนจำหน่าย ค้าปลีกค้าส่ง อะไหล่ ยางติดเหล็ก บู๊ชยางต่างๆ ของรถยนต์,162/4 ถนนคลองบางจาก  แขวงคูหาสวรรค์ เขตภาษีเจริญ กรุงเทพมหานคร 10160
83,0105558072244,บจ.เอ็ม วาย ดีเวลลอปเม้นท์ จำกัด,29/4/2558," 5,000,000 ",ประกอบกิจการซื้อขาย จัดสรรบ้าน ที่ดิน รวมถึงพัฒนาอสังหาริมทรัพย์,708 ซอยเพชรเกษม 92/1 ถนนเพชรเกษม  แขวงบางแคเหนือ เขตบางแค กรุงเทพมหานคร 10160
84,0125558008422,บจ.โฟร์ เท็กซ์ (2015)  จำกัด,1/4/2558," 5,000,000 ",ประกอบกิจการต่อเติมอาคาร ซ่อมบำรุงทั่วไป งานตกแต่งภายในและภายนอก,1730/154 ซอยเพชรเกษม 63  แขวงหลักสอง เขตบางแค กรุงเทพมหานคร 10160
85,0105558059001,บจ.เอ็ม แอนด์ เจ คอร์ปอเรชั่น จำกัด,2/4/2558," 5,000,000 ",รับเหมาก่อสร้าง อาคารพาณิชย์ อาคารที่พักอาศัย สถานที่ทำการ,32/79 หมู่บ้านดิ เอมเมอรัลด์ การ์เด้น ปิ่นเกล้า  แขวงทวีวัฒนา เขตทวีวัฒนา กรุงเทพมหานคร 10170
86,0105558062648,บจ.อาร์ท ออฟ กอล์ฟ อินเตอร์เนชั่นแนล จำกัด,9/4/2558," 5,000,000 ",ประกอบกิจการค้า อุปกรณ์กีฬากอล์ฟทุกชนิด เช่น เสื้อผ้ากีฬา แว่นตา รองเท้า,15 ซอยปิ่นนคร 1  แขวงตลิ่งชัน เขตตลิ่งชัน กรุงเทพมหานคร 10170
87,0105558058403,บจ.เออ อาหารไทย จำกัด,2/4/2558," 5,000,000 ",สถานที่จำหน่ายอาหารและเครื่องดื่ม ขายปลีกอาหารและเครื่องดื่ม,394/35 ถนนมหาราช  แขวงพระบรมมหาราชวัง เขตพระนคร กรุงเทพมหานคร 10200
88,0103558008871,หจ.บางกอกโก,23/4/2558," 5,000,000 ",ประกอบกิจการขนส่งและขนถ่ายสินค้า,540/8 ซอยเพิ่มสิน 22 ถนนพหลโยธิน  แขวงคลองถนน เขตสายไหม กรุงเทพมหานคร 10210
89,0105558063334,บจ.เอส ซี ซี เอ็ม จำกัด,10/4/2558," 5,000,000 ",ประกอบธุรกิจค้าอสังหาริมทรัพย์,333/150 ซอยประชาชื่น 10(ม.การ์เด้นซิตี้ลากูน)  แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210
90,0105558068221,บจ.ไทย เฮย ฟู แคปปิทอล อินเตอร์เนชั่นแนล จำกัด,23/4/2558," 5,000,000 ",ประกอบกิจกรรมของตัวแทนและนายหน้าประกันวินาศภัย,88/8 ถนนแจ้งวัฒนะ  แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210
