นิติบุคคลจัดตั้งเดือนกุมภาพันธ์  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์เดิม,ที่ตั้งสำนักงานใหญ่
73,0105558036027,บจ.เซาท์เทิร์น เกรซ จำกัด,26/2/2558," 5,000,000 ",ซื้อขาย เช่า ให้เช่า ให้สิทธิเก็บกิน เช่าซื้อ ขายฝากจำนองแลกเปลี่ยนหรือจัดหาที่ดินและอสังหาริมทรัพย์,155/19 ถนนราชดำริห์  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
74,0105558021143,บจ.วีพีเอ็น แอนด์ ไซมิสทริค จำกัด,4/2/2558," 5,000,000 ",ประกอบกิจการบริหารจัดการศูนย์จัดการขยะมูลฝอยและโรงงานผลิตกระแสไฟฟ้าจากขยะมูลฝอย,1077/48 ถนนพหลโยธิน  แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
75,0105558034288,บจ.กู๊ดปาลส์ จำกัด,23/2/2558," 5,000,000 ",ค้าอาหารสด อาหารแห้ง,"245, 247 ซอยอินทามระ 16 ถนนสุทธิสารวินิจฉัย  แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400"
76,0105558026382,บจ.สยาม เมทอล รีไซเคิล โฮลดิ้ง จำกัด,11/2/2558," 5,000,000 ",เข้าเป็นหุ้นส่วนรับผิดชอบในห้างหุ้นส่วน ในบริษัทจำกัด และมหาชน,323 อาคารยูไนเต็ด เซ็นเตอร์ ชั้นที่ 41 ห้องเลขที่ 4112 ถนนสีลม  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
77,0105558021356,บจ.มีนบุรี สปอร์ต จำกัด,4/2/2558," 5,000,000 ",ให้เช่าพื้นที่,69/1 ถนนร่มเกล้า  แขวงแสนแสบ เขตมีนบุรี กรุงเทพมหานคร 10510
78,0105558031815,บจ.เอ.ซี.โฮม การ์เด้น จำกัด,19/2/2558," 5,000,000 ",ประกอบกิจการค้าอสังหาริมทรัพย์,1/699 ซอยรามคำแหง 190/2 ถนนรามคำแหง  แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510
79,0105558024606,บจ.เออีซี ฟิลเตอร์ พาร์ท จำกัด,9/2/2558," 5,000,000 ",ประกอบกิจการรับซ่อม ติดตั้งเครื่องจักรเครื่องยนต์เครื่องทุ่นแรงยานพาหนะเครื่องใช้เกี่ยวกับไฟฟ้า,6 ซอยเคหะร่มเกล้า 66  แขวงคลองสองต้นนุ่น เขตลาดกระบัง กรุงเทพมหานคร 10520
80,0105558020341,บจ.ยูนี ควิซีน จำกัด,2/2/2558," 5,000,000 ",จำหน่ายอาหาร เครื่องดื่ม รวมทั้งเครื่องดื่มที่มีส่วนผสมแอลกอฮอล์ ผับ บาร์,128/56 ซอยพระรามที่ 2 ซอย 50 แยก 7  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
81,0105558021224,บจ.แท้งค์เกอร์ อินเตอร์เทค จำกัด,4/2/2558," 5,000,000 ",ซื้อมา ขายไป นำเข้า ส่งออก ผลิต บริการซ่อม ตรวจสอบ ติดตั้ง เปลี่ยนแปลง แก้ไข เครื่องจักร,84 ซอยเทียนทะเล 16 ถนนบางขุนเทียน-ชายทะเล  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
82,0105558029624,บจ.เจคิวเอฟ ค้าไม้ จำกัด,16/2/2558," 5,000,000 ",ประกอบกิจการ นำเข้า ส่งออก รับซื้อ ขายส่ง ขายปลีก ผลิต แปรรูป ไม้ยูคาลิปตัส,33/370 ซอยอนามัยงามเจริญ 19  แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150
83,0105558031513,บจ.อะวอร์ด โฮลดิ้ง จำกัด,19/2/2558," 5,000,000 ",เข้าเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วนจำกัดเป็นผู้ถือหุ้นในบริษัทจำกัดและบริษัทมหาชนจำกัด,270/75 ซอยพระยามนธาตุราชศรีพิจิตร์  แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150
84,0105558032277,บจ.เซนสแควร์ ซินเนอร์จี จำกัด,19/2/2558," 5,000,000 ",ค้าส่งอุปกรณ์และชิ้นส่วนทางอิเล็กทรอนิคส์และทางการสื่อสารโทรคมนาคม,24/25 ซอยกำนันแม้น 13 แยก 18  แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150
85,0105558019572,บจ.อาร์ ที เจ แอ็ดเวอร์ไทซิ่ง จำกัด,2/2/2558," 5,000,000 ",ประกอบกิจการบริการทำและติดตั้งป้ายโฆษณาทุกชนิด,"3,5 ถนนพุทธมณฑลสาย 1  แขวงบางหว้า เขตภาษีเจริญ กรุงเทพมหานคร 10160"
