นิติบุคคลจัดตั้งเดือนธันวาคม  2558,,,,,,
ทั่วประเทศ,,,,,,
,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
75,0105558199201,บจ.ไท้ หลงเสียง เอ็กซ์เพรส จำกัด,28/12/2558," 10,000,000 ",โรงแรม,290 ซอยลาดพร้าว 94 ถนนศรีวรา  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
76,0105558193858,บจ.หมิง เถา พรีซิชั่น เอ็นจิเนียริ่ง จำกัด,14/12/2558," 10,000,000 ",โรงงานผลิต อุปกรณ์ ชิ้นส่วน อะไหล่ รถยนต์ และมอเตอร์ไซด,76/22 ซอยหลังสวน  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
77,0105558195265,บจ.บุญถาวร โซลูชั่น จำกัด,17/12/2558," 10,000,000 ",ประกอบกิจการรับเหมาก่อสร้างอาคาร อาคารพาณชย์ อาคารที่พักอาศัย สถานที่ทำการและอื่นๆ,239 ถนนรัชดาภิเษก  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
78,0105558194111,บจ.ฮุ่ยซิ่น โฮลดิ้ง จำกัด,15/12/2558," 10,000,000 ",ประกอบธุรกิจอีคอมเมิร์ซ ประเภทสินค้าและบริการ (ซึ่งไม่ใช่การประกอบธุรกิจขายตรงหรือตลาดแบบตรงตามพ.ร.บ,287 อาคารลิเบอร์ตี้สแควร์ ชั้นที่ 14 ห้องเลขที่ 1402 ถนนสีลม  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
79,0105558191308,บจ.ฤดีทิพย์ โฮลดิ้ง จำกัด,8/12/2558," 10,000,000 ",ซื้อ จัดหา เช่า ถือกรรมสิทธิ์และจัดการซึ่งทรัพย์สินใดๆตลอดจนดอกผลของทรัพย์สินนั้น,48 ถนนนราธิวาสราชนครินทร์  แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500
80,0105558189320,บจ.อริยะกานต์ เอสเตท จำกัด,1/12/2558," 10,000,000 ",การให้เช่า การขาย การซื้อและดำเนินงานอสังหาริมทรัพย์,838/1 ถนนลาดกระบัง  แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520
81,0105558194366,บจ.เอทีเจ (ไทยแลนด์) จำกัด,16/12/2558," 8,000,000 ",ประกอบธุรกิจให้บริการรับเป็นที่ปรึกษาและให้คำแนะนำด้านการจัดการทรัพยากรบุคคล,57 ปาร์คเวนเชอร์ อีโคเพล็กซ์ ชั้น 11 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
82,0107558000466,บมจ.ที ดิจิตอลพลัส จำกัด (มหาชน),2/12/2558," 7,142,857 ",ผลิตและจำหน่ายสื่อโฆษณา สื่อประชาสัมพันธ์ จัดการเกี่ยวกับธุรกิจโฆษณา เตรียมการโฆษณา  บริการโฆษณา,6 ซอยหมู่บ้านเสรีวิลล่าแยก 7  แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250
83,0105558195958,บจ.เชอร์แมน โฮมแลนด์ จำกัด,18/12/2558," 7,000,000 ",ประกอบกิจการพัฒนาอสังหาริมทรัพย์ คอนโดมิเนียม บ้านจัดสรร ศูนย์การค้าชุมชน โรงพยาบาล สถานบันเทิง,2 ซอยบางขุนเทียน 2  แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150
84,0105558198183,บจ.ไทยอุซุย โฮลดิ้ง จำกัด,24/12/2558," 7,000,000 ",ลงทุนในบริษัทอื่น,138 อาคารบุญมิตร ชั้น 2 ห้อง บี 10 และห้อง บี 11/2 ถนนสีลม  แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500
85,0105558189443,บจ.ดีซี เอ็นเตอร์เทนเมนท์ จำกัด,2/12/2558," 6,000,000 ",ประกอบกิจการนำเข้า ส่งออก สินค้าเกี่ยวกับภาพยนตร์ ผลิตรายการความบันเทิงทุกชนิด,140 อาคารวัน แปซิฟิค เพลส ชั้น17 ห้อง1703-1704 ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
86,0105558190620,บจ.อี.เอ็ม.จี. อีเล็คทริคแอนด์แมชชีนเนอรี่ จำกัด,4/12/2558," 6,000,000 ",นำเข้า จำหน่าย มอเตอร์ไฟฟ้า เครื่องกำเนิดไฟฟ้า หม้อแปลงไฟฟ้า และอุปกรณ์ควบคุมและจ่ายไฟฟ้า,32 ถนนพระรามที่ 2  แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150
87,0105558196971,บจ.เอ็กซ์เพิททีม โฮลดิ้ง จำกัด,22/12/2558," 6,000,000 ",ประกอบกิจการเกี่ยวกับให้เช่าอสังหาริมทรัพย์ เช่าที่ดินในการก่อสร้างอาคารโรงงาน,114 ถนนพระรามที่2  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
