นิติบุคคลจัดตั้งเดือนตุลาคม  2558,,,,,,,,
ทั่วประเทศ,,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,,
75,0105558174462,บจ.สยามรอยัล วิลล์ จำกัด,30/10/2558," 10,000,000 ",ประกอบกิจการร้านขายอาหารและเครื่องดื่ม,2/93 ถนนราษฎร์พัฒนา  แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240,,
76,0105558165111,บจ.ริคเก้น เซลส์ แอนด์ เทรดดิ้ง (ไทยแลนด์) จำกัด,13/10/2558," 10,000,000 ",ผลิต จำหน่าย นำเข้าส่งออก ชิ้นส่วนยานยนต์ ชิ้นส่วนเครื่องจักรอุตสาหกรรม และชิ้นส่วนอุปกรณ์เครื่องใชไ,2/51 อาคารทศพลแลนด์ 4 ชั้นที่ 11 ซอยบางนา-ตราด 25 ถนนบางนา-ตราด  แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260,,
77,0105558159625,บจ.สเตเออร์ ทรัคส์ อินเตอร์เนชั่นแนล เอเชีย จำกัด,2/10/2558," 8,000,000 ",ผลิต ซื้อ ขาย นำเข้า ส่งออก ชิ้นส่วนอะไหล่ รถยนต์ ทุกประเภท,976/14 ถนนริมคลองสามเสน  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310,,
78,0105558170939,บจ.คุซุฮาระ นิว ทรานสปอร์ตเทชั่น จำกัด,22/10/2558," 6,000,000 ",ประกอบกิจการค้าส่ง สินค้าทั่วไป,1 อาคารที เอ ซี ชั้นที่ 4 ซอยร่วมฤดี ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
79,0105558168161,บจ.โรบอท แกแลคซี่ คิดส์ จำกัด,19/10/2558," 6,000,000 ",ประกอบกิจการรับพัฒนา ตรวจสอบ ติดตั้ง อบรม ให้คำปรึกษา จำหน่าย นายหน้า ให้เช่าซอฟแวร์ฮาร์ดแวร์ เว็บ,364 หมู่ที่ 14 ซอยพัฒนาการ 30 (บุปผา) ถนนพัฒนาการ  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,,
80,0105558159722,บจ.แอตแลนติก โกลบอล จำกัด,2/10/2558," 5,000,000 ",ประกอบกิจการนำเข้า ส่งออก อาหาร เครื่องดื่ม ผักและผลไม้ วัตถุดิบสำหรับผลิตอาหาร,1349/128 ถนนเจริญนคร  แขวงบางลำภูล่าง เขตคลองสาน กรุงเทพมหานคร 10600,,
81,0105558159579,บจ.ไลท์แอนด์เซฟ จำกัด,2/10/2558," 5,000,000 ",ประกอบกิจการเป็นตัวแทนจำหน่ายอุปกรณ์ไฟฟ้า หลอดไฟ,36 ซอยบรมราชชนนี 6  แขวงบางบำหรุ เขตบางพลัด กรุงเทพมหานคร 10700,,
82,0105558160968,บจ.คาวบอย (ประเทศไทย) จำกัด,5/10/2558," 5,000,000 ",ประกอบกิจการผลิตและจำหน่ายเครื่องดื่มทุกชนิด,2 ห้องที่ 3/4 บี ชั้นที่ 3 ถนนบรมราชชนนี  แขวงบางบำหรุ เขตบางพลัด กรุงเทพมหานคร 10700,,
83,0105558163371,บจ.ท็อปเทค โซลูชั่น จำกัด,9/10/2558," 5,000,000 ",ประกอบกิจการค้า อุปกรณ์ไฟฟ้า และอะไหล่ของอุปกรณ์ดังกล่าว ที่ใช้ในโรงงานอุตสาหกรรม,120/166 ตรอกบ้านช่างหล่อ ถนนพรานนก  แขวงบ้านช่างหล่อ เขตบางกอกน้อย กรุงเทพมหานคร 10700,,
84,0105558162839,บจ.อาร์.อี.เอส. เทค จำกัด,8/10/2558," 5,000,000 ",ประกอบกิจการ วิจัย ให้คำปรึกษา ออกแบบ ผลิตและจำหน่ายอุปกรณ์เก็บกักพลังงาน,99/1 ซอยพหลโยธิน 33  แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900,,
85,0105558164424,บจ.วีคอน โซลูชั่น จำกัด,12/10/2558," 5,000,000 ",ประกอบกิจการโรงงานผลิตวัสดุก่อสร้าง,90/8 อาคารชุดเพ็ญศิริเพลซ ซอยพหลโยธิน 32 ถนนพหลโยธิน  แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900,,
86,0105558171960,บจ.เอเจโอ อินโนเวชัน(2016) จำกัด,27/10/2558," 5,000,000 ",ประกอบกิจการร้านอาหาร จำหน่ายอาหารที่ปรุงขึ้นเพื่อบริโภคทันที และเครื่องดื่มทุกชนิด,38 ซอยลาดพร้าว 8 ถนนลาดพร้าว  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,,
87,0105558158629,บจ.ริวา ดีเวลลอปเมนท์ จำกัด,1/10/2558," 5,000,000 ",ก่อสร้าง ซื้อขาย ฝากขาย เช่า ให้เช่า อสังหาริมทรัพย์ เช่น ที่ดิน อพาร์ทเม้นท์ คอนโดมิเนียม,364/282 อาคารรอยัลไนน์ เรสซิเดนท์ ซอยศูนย์วิจัย 4 ถนนพระราม 9  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310,,
